            age,Hours_Studied,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
20,Low,No,7,82,High,Yes,Low,Public,4,Yes,High School,Near,Male,63
13,Medium,No,5,78,Medium,Yes,Low,Public,2,No,High School,Near,Male,65
27,Low,Yes,8,81,Medium,Yes,High,Public,5,No,High School,Near,Female,73
25,High,Yes,8,94,Low,Yes,Low,Private,4,No,College,Moderate,Female,70
25,High,No,9,93,High,Yes,Low,Public,3,Yes,High School,Near,Female,68
15,Medium,Yes,7,57,Medium,Yes,Medium,Public,3,No,College,Near,Male,65
28,Low,Yes,9,79,High,Yes,Low,Private,1,No,College,Moderate,Female,71
12,Low,No,6,72,Low,Yes,Medium,Public,2,No,College,Far,Male,64
24,Medium,Yes,8,64,Medium,Yes,High,Private,3,Yes,College,Moderate,Male,68
33,Medium,Yes,6,82,Low,Yes,Low,Public,4,No,College,Near,Male,69
14,Medium,No,7,76,Medium,Yes,Medium,Private,4,No,College,Moderate,Female,69
17,Medium,No,8,89,Medium,Yes,Low,Public,4,No,High School,Far,Male,69
21,Medium,Yes,10,55,Medium,Yes,High,Private,2,No,College,Near,Male,67
17,Low,Yes,8,65,Low,Yes,Medium,Public,6,No,High School,Far,Female,68
11,Medium,Yes,8,51,Medium,Yes,Low,Public,3,No,Postgraduate,Near,Male,64
20,Medium,No,6,87,Low,Yes,Low,Public,4,No,High School,Near,Female,66
14,High,No,7,96,Medium,Yes,Low,Public,3,No,High School,Near,Male,63
23,Medium,Yes,7,79,Medium,Yes,Low,Public,2,No,High School,Moderate,Male,66
14,Medium,No,9,81,Medium,Yes,Low,Private,3,No,Postgraduate,Near,Female,66
29,Medium,Yes,7,52,Low,Yes,Low,Private,3,No,College,Near,Female,67
15,High,No,9,75,Low,Yes,Low,Public,1,No,High School,Near,Male,65
18,Low,Yes,5,76,Medium,Yes,Medium,Public,3,No,High School,Near,Female,68
25,Medium,No,9,52,High,Yes,Low,Private,2,No,High School,Near,Male,68
13,High,No,6,89,Medium,Yes,High,Private,1,Yes,High School,Near,Male,65
21,Medium,No,8,64,High,Yes,Medium,Public,0,No,College,Near,Male,71
28,Medium,No,6,86,High,Yes,Low,Private,3,Yes,Postgraduate,Far,Male,65
10,Medium,No,8,70,Medium,Yes,Low,Public,1,Yes,Postgraduate,Near,Female,64
21,High,No,6,100,Medium,Yes,High,Private,2,No,Postgraduate,Near,Female,72
22,Medium,No,9,61,Medium,Yes,Low,Public,2,Yes,High School,Near,Female,65
25,Medium,No,8,53,High,No,Low,Private,5,No,Postgraduate,Near,Female,66
13,Low,No,6,99,Medium,Yes,Low,Private,4,No,High School,Near,Male,61
12,Low,Yes,8,62,Medium,Yes,Medium,Public,3,No,College,Near,Female,68
23,High,Yes,8,82,Low,Yes,Medium,Public,3,Yes,Postgraduate,Moderate,Female,69
22,Medium,Yes,6,69,Medium,Yes,Low,Public,3,No,College,Near,Female,72
22,Medium,Yes,5,82,Medium,Yes,Low,Public,3,No,Postgraduate,Near,Female,71
22,High,No,5,80,Low,Yes,Low,Public,3,No,High School,Near,Female,70
16,Medium,Yes,5,85,Low,Yes,Low,Public,2,No,High School,Moderate,Male,68
21,Low,Yes,5,51,Medium,Yes,Low,Public,2,No,High School,Moderate,Female,67
22,Medium,Yes,8,92,Medium,Yes,Low,Public,4,No,High School,Near,Female,68
16,Medium,Yes,8,74,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Female,68
31,Medium,Yes,4,76,Medium,Yes,Medium,Public,4,Yes,High School,Far,Male,72
23,Low,No,6,71,Low,Yes,Medium,Public,2,No,College,Near,Male,65
13,Medium,No,5,99,Low,Yes,Medium,Private,4,No,High School,Near,Female,66
24,Medium,Yes,8,90,High,Yes,Low,Public,3,No,High School,Near,Male,65
14,Medium,Yes,6,66,Medium,Yes,Medium,Public,3,Yes,College,Near,Female,67
25,Medium,No,5,89,Low,Yes,Medium,Public,4,No,College,Far,Male,66
27,Medium,No,7,72,Low,Yes,Medium,Public,4,No,High School,Far,Male,69
15,Medium,Yes,8,94,Low,Yes,High,Public,3,No,College,Moderate,Male,66
26,Medium,Yes,6,52,Medium,Yes,High,Public,3,No,High School,Near,Male,69
22,High,Yes,7,68,Medium,No,Low,Public,2,No,High School,Near,Male,67
25,High,Yes,6,71,Medium,Yes,Medium,Private,3,No,High School,Near,Male,66
31,Medium,Yes,9,87,Medium,Yes,Low,Private,3,No,College,Far,Male,71
19,High,No,6,59,Medium,Yes,Medium,Public,4,No,College,Moderate,Male,70
15,High,No,6,64,Medium,Yes,Medium,Public,4,No,Postgraduate,Near,Male,71
15,Medium,Yes,7,86,High,Yes,High,Private,3,No,Postgraduate,Near,Male,66
15,Medium,No,7,54,High,No,Medium,Public,2,No,High School,Near,Male,67
20,High,No,8,60,Medium,Yes,Medium,Public,4,Yes,College,Far,Female,66
22,Medium,No,9,88,Low,Yes,Low,Public,2,No,Postgraduate,Near,Male,72
22,Medium,No,9,94,Medium,Yes,Medium,Public,3,No,High School,Near,Male,68
25,Medium,No,6,86,Medium,No,Low,Public,3,No,High School,Near,Female,69
20,Medium,Yes,7,76,Low,Yes,Low,Private,3,No,Postgraduate,Near,Male,71
29,Medium,Yes,9,55,Low,No,Medium,Public,2,No,Postgraduate,Far,Female,70
18,Medium,No,9,91,High,Yes,High,Public,4,No,College,Far,Female,67
36,Medium,Yes,6,56,Medium,Yes,High,Public,2,No,High School,Far,Male,69
24,Low,No,8,69,Low,Yes,Medium,Public,1,No,High School,Moderate,Male,65
15,High,No,8,53,Medium,Yes,Low,Public,4,No,College,Near,Male,65
14,Medium,Yes,8,85,Low,Yes,Medium,Public,4,No,High School,Near,Male,64
23,Low,Yes,9,75,Low,Yes,Low,Public,2,No,College,Near,Male,63
19,Low,Yes,5,95,Medium,Yes,Low,Public,2,No,High School,Moderate,Male,69
24,Medium,Yes,6,57,Medium,Yes,Low,Private,5,No,College,Near,Female,64
23,High,Yes,8,91,High,Yes,High,Private,3,No,High School,Moderate,Male,72
20,Low,Yes,7,76,Medium,Yes,Medium,Public,4,No,High School,Near,Male,63
15,Low,Yes,4,68,Low,Yes,Low,Public,3,No,High School,Near,Female,64
11,Medium,Yes,5,82,Medium,Yes,High,Private,4,No,College,Moderate,Male,64
17,Medium,Yes,8,90,Medium,Yes,Medium,Public,1,No,Postgraduate,Far,Male,67
25,Medium,No,8,72,Low,Yes,Medium,Public,0,No,Postgraduate,Near,Male,71
21,Medium,No,5,62,High,Yes,Medium,Public,4,No,High School,Near,Male,70
13,Medium,Yes,9,96,Low,Yes,High,Private,4,No,High School,Far,Female,61
21,Medium,Yes,7,66,Low,Yes,Low,Public,4,No,College,Moderate,Male,67
22,High,No,5,100,Medium,Yes,High,Public,3,No,College,Near,Male,72
15,Low,Yes,6,88,Low,Yes,Low,Public,5,No,High School,Near,Male,66
21,Medium,Yes,5,84,Medium,Yes,High,Public,2,No,High School,Near,Male,70
20,High,Yes,6,51,High,No,Medium,Public,4,Yes,High School,Near,Male,67
13,High,Yes,4,72,Medium,Yes,Medium,Public,3,No,High School,Moderate,Female,67
22,Low,Yes,7,75,High,Yes,High,Public,2,No,College,Near,Female,71
23,High,Yes,8,69,Medium,Yes,Low,Private,4,No,College,Near,Male,66
26,Medium,Yes,5,57,Medium,Yes,Medium,Public,4,No,High School,Near,Male,68
26,Medium,Yes,7,68,Medium,Yes,High,Private,3,No,College,Near,Female,74
12,Medium,Yes,6,54,Medium,No,High,Public,3,No,High School,Near,Male,64
14,Medium,No,8,65,Medium,Yes,Low,Private,3,No,College,Near,Male,65
23,Low,Yes,4,54,Medium,Yes,Low,Public,3,No,College,Near,Male,66
23,Medium,Yes,8,88,Low,Yes,Medium,Public,3,Yes,High School,Near,Male,66
23,Medium,No,4,84,Medium,Yes,Medium,Public,5,No,High School,Near,Male,68
43,High,Yes,7,97,Medium,Yes,Medium,Public,1,No,High School,Near,Female,78
23,Medium,Yes,6,69,Low,Yes,Medium,Private,2,No,High School,Moderate,Female,67
27,Medium,Yes,6,89,Medium,Yes,Medium,Private,3,No,High School,Near,Male,74
26,Medium,No,5,79,High,Yes,Low,Public,2,No,Postgraduate,Near,Male,74
24,Medium,No,9,82,Low,Yes,Medium,Public,2,Yes,High School,Near,Female,62
18,High,Yes,5,77,Medium,No,Medium,Public,4,No,High School,Far,Male,66
25,Medium,Yes,5,89,High,Yes,Medium,Public,3,No,High School,Far,Female,69
15,Medium,Yes,10,52,Medium,Yes,Low,Private,3,No,College,Near,Male,68
19,Medium,No,7,54,High,Yes,Medium,Public,2,Yes,High School,Moderate,Male,89
17,High,No,5,55,Low,No,High,Private,4,No,College,Near,Male,66
20,Low,Yes,7,64,Low,No,Medium,Public,3,No,High School,Near,Female,68
34,Medium,Yes,7,80,Low,Yes,Medium,Public,3,No,High School,Near,Male,69
9,Medium,Yes,4,82,High,No,Low,Public,4,No,College,Near,Male,67
24,High,Yes,6,86,Low,Yes,Medium,Private,5,No,High School,Near,Male,75
10,Medium,No,7,64,High,Yes,Medium,Public,4,Yes,High School,Moderate,Female,60
17,High,Yes,9,83,Medium,Yes,Medium,Private,4,Yes,College,Moderate,Female,66
27,Low,Yes,7,56,Low,Yes,High,Private,3,No,College,Near,Female,73
20,Medium,No,7,50,Low,Yes,Medium,Private,2,No,High School,Near,Female,68
14,Medium,Yes,6,85,Medium,Yes,Medium,Public,3,No,High School,Near,Male,62
16,Medium,No,9,86,Low,Yes,Low,Public,2,No,High School,Near,Male,62
24,High,Yes,8,81,High,Yes,Medium,Public,4,No,High School,Far,Male,65
16,High,Yes,8,63,High,Yes,Low,Public,3,No,High School,Moderate,Male,69
21,Medium,No,7,96,Low,Yes,Low,Public,2,No,High School,Far,Female,64
20,Medium,No,5,94,Medium,Yes,Low,Private,4,Yes,Postgraduate,Moderate,Female,67
16,High,Yes,9,76,Medium,Yes,Low,Public,2,No,High School,Near,Male,70
33,Medium,No,7,99,High,Yes,Medium,Public,3,No,College,Near,Female,70
24,High,No,7,65,Low,Yes,Medium,Public,3,No,High School,Near,Female,69
8,High,No,8,75,Medium,Yes,Medium,Public,3,No,High School,Near,Male,61
21,Medium,No,7,96,Low,Yes,Medium,Private,2,Yes,Postgraduate,Moderate,Male,69
16,High,Yes,5,73,Medium,Yes,Medium,Public,0,Yes,High School,Near,Male,63
25,Medium,Yes,7,74,Low,Yes,Medium,Public,4,Yes,High School,Near,Male,67
15,Low,No,4,54,Medium,Yes,Medium,Public,6,No,,Moderate,Male,65
19,Medium,Yes,7,61,High,Yes,High,Public,4,No,High School,Moderate,Male,66
23,Low,No,9,58,Medium,Yes,Medium,Public,2,No,High School,Near,Male,63
25,Medium,Yes,4,78,Medium,Yes,Medium,Private,3,No,High School,Moderate,Female,68
13,High,No,7,66,Medium,Yes,Low,Public,4,No,Postgraduate,Near,Male,65
18,Low,Yes,8,54,Medium,Yes,Medium,Public,3,No,High School,Near,Male,67
17,Low,Yes,8,75,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Female,68
16,Medium,No,6,83,Medium,Yes,Low,Public,3,Yes,College,Near,Male,64
31,Medium,No,5,87,High,Yes,Medium,Private,3,No,College,Moderate,Male,71
22,Medium,Yes,6,92,Low,Yes,Medium,Public,5,No,High School,Near,Female,69
12,Medium,Yes,9,74,Low,Yes,Medium,Public,3,No,Postgraduate,Moderate,Male,67
26,Low,No,4,70,Low,Yes,High,Public,3,Yes,College,Moderate,Female,65
33,Low,No,5,84,Medium,Yes,Medium,Public,2,No,High School,Near,Male,68
26,High,Yes,6,51,Low,No,High,Private,3,No,Postgraduate,Moderate,Male,67
11,Medium,Yes,6,82,High,Yes,Medium,Public,4,No,High School,Near,Male,67
17,Medium,Yes,7,70,Medium,No,Low,Public,3,No,High School,Near,Male,66
28,High,No,9,73,High,Yes,Medium,Public,4,No,College,Moderate,Female,70
16,High,Yes,5,65,Medium,Yes,Medium,Private,4,No,Postgraduate,Moderate,Female,65
23,Low,Yes,7,56,Low,Yes,Medium,Private,4,No,Postgraduate,Near,Female,69
25,Medium,Yes,7,70,Low,No,High,Public,4,No,High School,Far,Female,65
14,High,No,6,65,Medium,Yes,High,Public,3,Yes,College,Near,Male,63
20,Medium,No,5,98,Low,Yes,Low,Private,2,No,Postgraduate,Far,Female,67
1,High,Yes,6,97,Medium,Yes,Low,Public,3,No,High School,Near,Female,61
14,Medium,Yes,6,82,Medium,Yes,Medium,Public,2,No,High School,Near,Female,65
18,Low,Yes,8,95,Medium,Yes,Low,Public,2,No,College,Near,Female,66
13,Medium,Yes,8,88,High,Yes,High,Public,3,No,College,Near,Male,66
30,Medium,Yes,5,67,Medium,Yes,High,Public,1,No,High School,Near,Male,69
11,Medium,No,6,80,Medium,Yes,Medium,Public,3,No,College,Moderate,Female,63
17,Low,No,6,61,Medium,Yes,High,Public,6,No,Postgraduate,Near,Male,65
21,Low,No,10,84,Low,Yes,High,Public,4,Yes,High School,Near,Male,67
29,High,Yes,7,52,Medium,Yes,High,Public,3,Yes,High School,Near,Female,69
11,Low,Yes,5,92,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Male,65
27,Medium,No,6,79,Medium,Yes,Low,Public,3,No,High School,Moderate,Male,65
20,High,Yes,6,53,Medium,Yes,Low,Public,2,No,College,Moderate,Male,65
14,Medium,Yes,8,94,Low,Yes,Low,Public,5,No,College,Far,Female,67
23,Low,Yes,8,94,Medium,Yes,Medium,Public,2,Yes,High School,,Male,66
21,Medium,No,7,93,Medium,Yes,Low,Public,3,No,High School,Near,Female,72
16,Medium,No,7,89,High,Yes,Low,Public,3,No,College,Near,Male,66
20,Medium,Yes,7,84,Low,No,Medium,Private,4,No,College,Far,Male,65
18,High,Yes,7,70,Medium,Yes,Low,Public,3,No,High School,Moderate,Male,69
21,Medium,No,4,57,Medium,Yes,High,Public,2,No,High School,Near,Female,68
24,Medium,No,7,64,Low,Yes,High,Public,1,No,Postgraduate,Near,Male,64
30,Low,No,6,67,Medium,Yes,Medium,Public,4,No,College,Moderate,Female,69
13,Medium,Yes,5,68,Low,Yes,High,Public,1,Yes,High School,Moderate,Female,59
33,High,Yes,10,78,Medium,Yes,Medium,Private,3,No,High School,Moderate,Female,68
8,Medium,No,7,60,Medium,No,High,Private,3,No,High School,Near,Female,60
19,Medium,No,7,59,Medium,Yes,High,Public,3,No,High School,Far,Male,62
24,Low,Yes,6,86,Low,Yes,Low,Public,3,No,College,Near,Male,67
22,Low,Yes,8,50,High,Yes,Medium,Private,5,No,High School,Far,Female,68
16,Medium,Yes,5,57,High,Yes,Medium,Public,3,No,High School,Moderate,Female,64
19,Medium,Yes,7,72,High,Yes,Low,Public,3,No,High School,Moderate,Female,65
17,Low,Yes,6,57,Medium,Yes,Medium,Private,2,Yes,High School,Moderate,Female,65
16,High,No,8,98,Medium,Yes,Low,Public,3,No,High School,Near,Female,63
25,Medium,Yes,6,84,Low,Yes,Medium,Public,3,No,High School,Near,Male,70
22,Low,Yes,9,72,Low,Yes,Medium,Public,3,No,High School,Near,Female,66
16,Medium,Yes,7,56,Low,Yes,High,Public,3,No,High School,Near,Female,68
25,Low,No,8,69,Medium,Yes,Medium,Private,3,No,High School,Near,Female,66
22,Low,No,8,83,Medium,Yes,Medium,Private,1,No,College,Near,Male,63
25,High,Yes,9,98,Medium,Yes,Low,Public,3,Yes,College,Moderate,Female,66
24,Medium,Yes,6,74,Medium,Yes,Medium,Public,3,No,High School,Near,Female,65
15,Medium,Yes,8,85,High,Yes,Low,Public,2,No,Postgraduate,Moderate,Male,66
17,High,Yes,4,60,High,Yes,High,Private,3,Yes,College,Moderate,Female,67
24,Medium,Yes,7,81,Medium,Yes,Low,Private,3,No,High School,Near,Male,66
24,Low,No,6,62,High,Yes,Low,Public,3,No,High School,Near,Female,63
20,Medium,Yes,5,60,Low,Yes,Medium,Public,4,Yes,High School,Near,Male,66
21,Medium,No,6,75,Low,No,High,Public,3,No,College,Moderate,Male,67
28,Medium,Yes,6,61,Medium,No,Low,Public,3,No,High School,Near,Male,71
16,Medium,Yes,7,86,Medium,Yes,Low,Private,2,No,High School,Near,Female,67
23,Medium,Yes,6,97,Medium,Yes,High,Public,4,No,High School,Moderate,Male,69
19,Medium,Yes,7,70,Medium,Yes,Low,Public,4,Yes,Postgraduate,Near,Female,67
19,High,Yes,6,66,High,Yes,Medium,Private,2,No,College,Moderate,Female,72
27,High,No,6,59,High,Yes,Low,Private,4,No,High School,Near,Female,70
25,Medium,Yes,7,70,Low,Yes,Low,Private,4,No,Postgraduate,Moderate,Male,67
25,Low,Yes,7,78,Medium,Yes,Low,Public,3,No,High School,Far,Female,64
28,Medium,No,8,69,High,Yes,Medium,Private,1,No,College,Moderate,Female,67
20,Low,No,8,81,Medium,Yes,Medium,Private,4,No,Postgraduate,Near,Male,69
24,Low,No,7,83,Medium,Yes,Low,Private,3,No,College,,Male,68
18,Medium,No,8,55,Low,Yes,Low,Public,3,No,High School,Moderate,Male,63
22,Medium,Yes,7,85,Medium,Yes,High,Public,3,No,College,Near,Female,68
19,High,Yes,7,95,Medium,Yes,Medium,Public,3,No,High School,Near,Male,70
21,Medium,Yes,8,51,Low,Yes,Medium,Public,2,No,College,Moderate,Male,66
24,High,No,6,78,High,Yes,Low,Public,6,No,High School,Near,Female,68
15,High,Yes,4,80,High,Yes,Low,Private,3,No,College,Near,Male,67
33,Low,Yes,5,85,Medium,Yes,Low,Private,5,No,High School,Far,Female,69
14,Medium,Yes,9,69,High,Yes,Medium,Private,3,Yes,College,Near,Female,66
13,Medium,Yes,7,91,Low,Yes,Low,Public,3,No,High School,Near,Male,68
